Проект,Краткое описание,Категории,Цена,Заявки,Link
"Перенос сайта с конструктора на модх  дизайн, доработка","Есть сайт www.jd-pool.ru на конструктореhttp://www.lact.ru/ Нужно перенести его на Модекс, поправить дизайн, доработать. Давайте я уточню некоторые моменты по заданию. Мне нужно перенести сайт с древн...",['Дизайн сайтов'],,3 заявки,https://www.weblancer.net/projects/dizajn-sajtov-9/perenos-sajta-s-konstruktora-na-modh-dizajn-dorabotka-1035784/
Open mp с++ рунге кутта 4 порядок,Разработать программу для численного решения системы дифференциальных уравнений методом Рунге - Кутта четвертого порядка.Поставленную задачу решить с использованием технологий OpenMP.Программу (часть ...,['Прикладное ПО'],,1 заявка,https://www.weblancer.net/projects/prikladnoe-po-23/open-mp-s-runge-kutta-4-poryadok-1035783/
Перевод на немецкий,"Здравствуйте.Нужно перевести небольшой текст с русского на немецкий язык.Прошу откликнуться только тем исполнителям, у которых немецкий не ниже среднего.",['Переводы'],,13 заявок,https://www.weblancer.net/projects/perevody-50/perevod-na-nemetckij-1035776/
Исправление ошибок синхронизации 1с с сайтом,"Выгрузка большого количества категорий из 1с на сайт происходит с ошибками, если выгружать меньше категорий или отключить выгрузку изображений, то все проходит успешно, без ошибок. Нужно поправить нас...",['Интернет-магазины'],,1 заявка,https://www.weblancer.net/projects/internet-magaziny-61/ispravlenie-oshibok-sinhronizatcii-1s-s-sajtom-1035779/
Доработать интернет магазин на вордпресс,Тз исполнителю,['Веб-программирование'],,8 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/dorabotat-internet-magazin-na-vordpress-1035778/
Автоматизировать переключение в состояние Отменен CMS Bitrix,"ТЗ №40. Автоматизировать установку заказа в статус Отменен покупателе или администратором при отработке процедуры ""Отменить заказ"". При изменении переводе заказа в статус Отменен из админист...",['Системы управления (CMS)'],10$,1 заявка,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/avtomatizirovat-pereklyuchenie-v-sostoyanie-otmenen-cms-bitrix-1035774/
Несколько контрольных по Электротехника,4 вариант,"['Контрольные, Задачи и\xa0Тесты']",,нет заявок,https://www.weblancer.net/projects/kontrolynye-zadachi-i-testy-99/neskolyko-kontrolynyh-po-elektrotehnika-1035770/
Настройка трансляции на Youtube,"Добрый день. Нужно настроить видео трансляцию на Youtube, чтобы изображение выводилось, переключалось, с трех разных камер.",['Системное администрирование'],,3 заявки,https://www.weblancer.net/projects/sistemnoe-administrirovanie-54/nastrojka-translyatcii-na-youtube-1035769/
"Верстка, правки на рабочем сайте","Требуется помощь программиста в добавлении кнопки с формой на сайт и отправка сообщений. Работа по ТЗ, оплата сдельно на карту. Есть и другие задания. Работу можно начать сразу. Задание несложное - ст...",['HTML-верстка'],,29 заявок,https://www.weblancer.net/projects/html-verstka-32/verstka-pravki-na-rabochem-sajte-1035768/
Расширение классов в Zend Framework и сделанного на нем форуме,"Несколько простых задачек есть для начала, могу голосом обговорить или в ЛС обьяснить , задачки будут обсуждаться с тем у кого есть опыт именно с зендом",['Системы управления (CMS)'],,2 заявки,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/rasshirenie-klassov-v-zend-framework-i-sdelannogo-na-nem-forume-1035767/
Переделать PDF методичку на адаптивный вариант (под мобайл),Здравствуйте! Нужно переделать готовую PDF методичку из 9 страниц в удобный для чтения с мобильника вариант (сейчас там очень мелкий шрифт). Попутно возможны небольшие правки с визуальной частью. Цена...,['Верстка полиграфии'],5$,6 заявок,https://www.weblancer.net/projects/verstka-poligrafii-10/peredelat-pdf-metodichku-na-adaptivnyj-variant-pod-mobajl-1035766/
Запустить интернет магазин по доставке еды,"Желательно вордпресс. ТЗ в личную переписку скину. Макет сайта имеется. Дизайн не нужен. Отклик начните с фразы ""досвидания""",['Интернет-магазины'],,26 заявок,https://www.weblancer.net/projects/internet-magaziny-61/zapustit-internet-magazin-po-dostavke-edy-1035765/
Нарисовать 12 Фав Иконок на Основе Шаблона для Сайта,"Необходимо нарисовать похожую на официальный сайт фав иконку, не нарушающую авторских прав и стилистически похожую, примеры: оф. сайт - https://halvacard.ru Конкуренты: https://kartarasrochki.ru/zajav...",['Дизайн сайтов'],,7 заявок,https://www.weblancer.net/projects/dizajn-sajtov-9/narisovat-12-fav-ikonok-na-osnove-shablona-dlya-sajta-1035764/
Рерайт текстов,"Рерайт и корректировка текстов. Нужно на сайте с курсами програмирования найти ошибки и увеличить объем статей до 10,000 символов.Можете ли вы чем то помочь, есть какие-либо предложения? Сможете ли пр...","['Рерайтинг', 'Редактирование и\xa0Корректура']",3000$,17 заявок,https://www.weblancer.net/projects/rerajting-94/rerajt-tekstov-1035759/
Креатив для рекламы ФБ,Нужно сделать 3 креатива для запуска рекламы ФБ. Размер для ленты и сториз. Тематика перманентный макияж. Качественные фото есть.,['Баннеры'],,26 заявок,https://www.weblancer.net/projects/bannery-8/kreativ-dlya-reklamy-fb-1035758/
Дизайн мобильного приложения,"Здравствуйте, нужен дизайн не большого мобильного приложения.",['Дизайн мобильных приложений'],,29 заявок,https://www.weblancer.net/projects/dizajn-mobilynyh-prilozhenij-82/dizajn-mobilynogo-prilozheniya-1035756/
Аватарка,"Привет всем. Нужно сделать ""Аватарку"" для группы в телеграмме. Тематика отрывки из фильмов.",['Иконки и\xa0Пиксель-арт'],,15 заявок,https://www.weblancer.net/projects/ikonki-i-piksely-art-14/avatarka-1035747/
Шапку и аватарку для канала Ютуб,https://youtu.be/Vqsn31k4GPg Это мой канал Вам нужно только сделать и скинуть мне всё,['Дизайн сайтов'],,6 заявок,https://www.weblancer.net/projects/dizajn-sajtov-9/shapku-i-avatarku-dlya-kanala-yutub-1035753/
Необходимо внедрить систему лояльности,"Магазину необходимо внедрить систему лояльности, чтобы за каждую покупку начислялись баллы, которые можно списать. У клиента должен быть личный кабинет, где он может просматривать кол-во накопленных б...",['Мобильные приложения'],,3 заявки,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/neobhodimo-vnedrit-sistemu-loyalynosti-1035751/
Исходники нарды короткие,Необходим исходник игры нарды короткие для веб сайта,['Разработка игр'],,1 заявка,https://www.weblancer.net/projects/razrabotka-igr-26/ishodniki-nardy-korotkie-1035750/
Парсер товаров,"Требуется парсер товаров интернет-магазина https://abekker.ru/catalog Какие данные парсить (все, что есть): Из карточек товаров: 1. Название товара. Пример: Земклуника Купчиха 2. Урл. Пример: https://...",['Веб-программирование'],,12 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/parser-tovarov-1035530/
Иллюстрация для документа,"Подробное тз здесь: https://docs.google.com/document/d/17ucJNTiQLDg1-5hEdxeVJtDxiq7ndRqa8_RSWltYCJI/edit?usp=sharing Цена обсуждаема, предлагайте. В первую очередь интересует качественный результат.",['Иллюстрации и\xa0Рисунки'],,15 заявок,https://www.weblancer.net/projects/illyustratcii-i-risunki-11/illyustratciya-dlya-dokumenta-1035746/
Нужно сделать бота для группы вк,"Нужно сделать бота для группы вк, который будет принимать оплату на Киви и передавать покупателям игровую валюту из мини-игры ВК",['Веб-программирование'],,1 заявка,https://www.weblancer.net/projects/veb-programmirovanie-31/nuzhno-sdelat-bota-dlya-gruppy-vk-1035742/
Дизайн сертификата,"Доброго времени суток Нужно отрисовать дизайн сертификата для курсов психолога Полная свобода в исполнении. Возможность делать правки Тексты предоставлю. Главное - должен быть нескучный, современный д...",['Дизайн продукции'],3$,20 заявок,https://www.weblancer.net/projects/dizajn-produktcii-18/dizajn-sertifikata-1035737/
"Простая помощь, соц сети","Простая помощь, соц сети. Репост в соц сетях онлайн школы и фриланса. Сделайте пост в любой соц сети с комментарием ""рекомендую"" со ссылкой на сайт курсы-программирования.рус Попробуйте сдел...",['Социальные сети (SMM и\xa0SMO)'],,4 заявки,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/prostaya-pomoshy-sotc-seti-1035723/
Редактирование сказки,нужно отредактировать сказку в 3452 символа. важен опыт работы со сказками,['Редактирование и\xa0Корректура'],,14 заявок,https://www.weblancer.net/projects/redaktirovanie-i-korrektura-49/redaktirovanie-skazki-1035718/
Смоделировать в matlab simulink процесс управления бурением,есть готовая система управления из нее нужно сделать систему управления с mpc,"['Рефераты, Курсовые и\xa0Дипломы']",,нет заявок,https://www.weblancer.net/projects/referaty-kursovye-i-diplomy-47/smodelirovat-v-matlab-simulink-protcess-upravleniya-bureniem-1035745/
Написать скрипт для быстрого добавления товаров для плагина на вп,"Написать скрипт для быстрого добавления товаров для плагина на вордпресс На сайте используются плагины wordpress woocommerce woocommerce-group-buy (люди объединяются в группы, чтобы купить товар по ни...",['Веб-программирование'],16$,нет заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/napisat-skript-dlya-bystrogo-dobavleniya-tovarov-dlya-plagina-na-vp-1035744/
Написать скрипт для формы,"Требуется написать скрипт для формы сайта на tilda. Он должен передавать данные полученные из формы в телеграм, на почту и записывать в Гугл док.",['Веб-программирование'],,3 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/napisat-skript-dlya-formy-1035743/
Сделать приленд для сайта МФО (онлайн кредиты),"Задача: сделать приленд для траффика, который будет попадать с определенного источника. Есть сайт, который предоставляет кредиты онлайн в Украине - https://gdecredit.com.ua и заточен под траффик с пои...",['Веб-программирование'],,2 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/sdelat-prilend-dlya-sajta-mfo-onlajn-kredity-1035729/
Сверстать макет многостраничника,Подробности кандидату,['HTML-верстка'],,65 заявок,https://www.weblancer.net/projects/html-verstka-32/sverstat-maket-mnogostranichnika-1035726/
Сделать два рекламных креатива для таргетированной рекламы,Добрый день! Нужно сделать два рекламных креатива (ресайзы: 1080х1920; 1080х1080). ТЗ по ссылке: https://docs.google.com/spreadsheets/d/1tsRJKdwuXbxw7r9N7BykCM0SluX5AGZsn54X3Pwgl9A/edit?usp=sharing В ...,['Баннеры'],,15 заявок,https://www.weblancer.net/projects/bannery-8/sdelat-dva-reklamnyh-kreativa-dlya-targetirovannoj-reklamy-1035724/
Анимация 3D модели головы,Есть 3д модель головы Необходимо создать анимацию проговаривания текста Текста примерно на 10 секунд,['Анимация'],,7 заявок,https://www.weblancer.net/projects/animatciya-39/animatciya-3d-modeli-golovy-1035719/
Необходимо сделать 6 превьюшек портфолио проектов в одном стиле,На сайтах проектов и в прикрипленных ссылках вы можете найти визуальные материалы и осн. информацию по каждому проекту. Цель - получить превью по каждому из проектов в одном стиле в формате png в хоро...,['Баннеры'],,9 заявок,https://www.weblancer.net/projects/bannery-8/neobhodimo-sdelat-6-prevyyushek-portfolio-proektov-v-odnom-stile-1035716/
"Копирайт и рерайт,  дизайн интерьеров и строй тематика","Необходимо расписать проекты по дизайну интерьера, сделать это на должном уровне, с опорой на готовые проекты и примеры, копирайт... Плюс еще рерайт, строй сайт полностью, увеличив обьем. На данный мо...",['Копирайтинг'],,22 заявки,https://www.weblancer.net/projects/kopirajting-48/kopirajt-i-rerajt-dizajn-interyerov-i-stroj-tematika-1035715/
Регистрация сайта в каталогах,Необходимо зарегистрировать сайт в 20 каталогах и справочниках Москвы. Этапы работы: 1) создать почтовый ящик на mail.ru (потом необходимо будет предоставить логин и пароль) 2) подобрать 20 справочник...,['Поисковые системы (SEO)'],5$,2 заявки,https://www.weblancer.net/projects/poiskovye-sistemy-seo-36/registratciya-sajta-v-katalogah-1035714/
Решить контрольную,Решить контрольную работу по дисциплине: управление в туристской фирмой до 17 апреля вариант 3,"['Контрольные, Задачи и\xa0Тесты']",,2 заявки,https://www.weblancer.net/projects/kontrolynye-zadachi-i-testy-99/reshit-kontrolynuyu-1035713/
PHP скрипт парcинга PDF документа с таблицами в массив,"1. есть PDF прайс лист на продукцию в табличном виде : рисунок фрагмент http://joxi.ru/D2Pl93NikEMwW2 вот ссылка на весь файл https://dropmefiles.com/aU9si 2. нужно скрипт(функция, класс) ПХП - на вхо...",['Веб-программирование'],,11 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/php-skript-parcinga-pdf-dokumenta-s-tablitcami-v-massiv-1035712/
Дизайн кафе  в стилі лофт,Потрібно зробити дизайн старої кафешки з мінімальним вкладенням бажано в стилі лофт з говна і палок. з великих витрат потрібно замінити двері - вікна скоріше всього залишаються старі(але по бажанню ди...,['Дизайн сайтов'],,6 заявок,https://www.weblancer.net/projects/dizajn-sajtov-9/dizajn-kafe-v-stil-loft-1035710/
Техническая часть вкр автоматизация крупно-оптового предприятия,"есть вкр «Программная платформа организации крупно-оптовой торговли». Есть теоретическая часть. Нужна техническая, то есть создать любую программу, которая будет автоматизировать процесс торговли. То ...",['Прикладное ПО'],,1 заявка,https://www.weblancer.net/projects/prikladnoe-po-23/tehnicheskaya-chast-vkr-avtomatizatciya-krupno-optovogo-predpriyatiya-1035709/
Техническая часть вкр автоматизация крупно-оптового предприятия,"есть вкр «Программная платформа организации крупно-оптовой торговли». Есть теоретическая часть. Нужна техническая, то есть создать любую программу, которая будет автоматизировать процесс торговли. То ...",['Прикладное ПО'],,1 заявка,https://www.weblancer.net/projects/prikladnoe-po-23/tehnicheskaya-chast-vkr-avtomatizatciya-krupno-optovogo-predpriyatiya-1035709/
Парсинг новостей в wordpress + вывод графиков,Задачи:- парсинг новостей по коронавирусу в РФ- вывод графиков на основе данных по заболеванию с официальных сайтов- автоматическое ежедневное формирование отдельных страниц с новостями и данными на т...,['Веб-программирование'],,4 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/parsing-novostej-v-wordpress-vyvod-grafikov-1035708/
Нужно внести правки на сайт,Нужно чтобы устранили ошибки на сайте,['Системы управления (CMS)'],15$,4 заявки,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/nuzhno-vnesti-pravki-na-sajt-1035707/
Два баннера на сайт,Нужны два баннера на сайт. Каждый размером 220х220 (физический) и они же 1760х1760 (для ретин). Весить баннер 1760х1760 jpg должен до 150 кб без потери качества. Работа нужна в jpg и в послойном psd. ...,['Баннеры'],10$,7 заявок,https://www.weblancer.net/projects/bannery-8/dva-bannera-na-sajt-1035706/
Синхронизация между Бухгалтерия и Управление торговлей,Здравствуйте. Есть необходимость настроить синхронизацию между Бухгалтерия для Беларуси 1.6 и Управление торговлей для Беларуси 3.3. Можете помочь?,['1С-программирование'],,2 заявки,https://www.weblancer.net/projects/1s-programmirovanie-83/sinhronizatciya-mezhdu-buhgalteriya-i-upravlenie-torgovlej-1035702/
"Статьи о гитарах, струнах, аккордах","Нужны информационные статьи для сайта на тематику связанную с гитарами, аккордами",['Копирайтинг'],,19 заявок,https://www.weblancer.net/projects/kopirajting-48/statyi-o-gitarah-strunah-akkordah-1035701/
"Анализ семантического ядра конкурентов, создание SEO стратегии",Необходимо составить список наиболее посещаемых сайтов-конкурентов для сайта macs.suПроанализировать семантическое ядро каждого из конкурентовНа основе полученной информации создать SEO-стратегию для ...,['Поисковые системы (SEO)'],,16 заявок,https://www.weblancer.net/projects/poiskovye-sistemy-seo-36/analiz-semanticheskogo-yadra-konkurentov-sozdanie-seo-strategii-1035699/
Добавить микроразметку рейтинга на статьи,Сайт на 1С битрикс - https://rbintellekt.ru нужно добавить чтоб под статьей можно было добавлять отзывы + добавить микроразметку рейтинга,['Наполнение сайтов'],,2 заявки,https://www.weblancer.net/projects/napolnenie-sajtov-35/dobavit-mikrorazmetku-rejtinga-na-statyi-1035697/
Парсинг новостей и данных по коронавирусу в wordpress + вывод графиков,Задачи: - парсинг новостей по коронавирусу - вывод графиков на основе данных по заболеванию с официальных сайтов - автоматическое ежедневное формирование отдельных страниц с новостями и данными на тек...,['Базы данных'],,2 заявки,https://www.weblancer.net/projects/bazy-dannyh-25/parsing-novostej-i-dannyh-po-koronavirusu-v-wordpress-vyvod-grafikov-1035692/
Создание сайта для онлайн аукциона,"Здравствуйте, Интересует приблизительная стоимость создания сайта для онлайн аукциона",['Интернет-магазины'],,16 заявок,https://www.weblancer.net/projects/internet-magaziny-61/sozdanie-sajta-dlya-onlajn-auktciona-1035691/
Нужно забить контентом картинки и текст сайт cms Joomla,Нужно забить контентом картинки и текст катало сайта cms Joomla для сайта snab-master.ru нужно забить данный каталог http://joxi.ru/4Aky1Vso7Ljxmq раздел бытовка уже забит и как пример можно делать по...,['Системы управления (CMS)'],,5 заявок,https://www.weblancer.net/projects/sistemy-upravleniya-cms-34/nuzhno-zabit-kontentom-kartinki-i-tekst-sajt-cms-joomla-1035689/
Консультации по разработке на React Native,"Требуется разработчик мобильных приложений на React Native с опытом от 1 года. Для проведения консультаций - ревизия проектов, рекомендации по развитию, консультации по разработке, сборка и публикация...",['Мобильные приложения'],,3 заявки,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/konsulytatcii-po-razrabotke-na-react-native-1035687/
Разработка моб приложений,Разработка моб приложений задание тут https://docs.google.com/document/d/1aAlowCzTns6ihkzLMW-9qa724k7vgbt33ZBhrMERN8k/edit?usp=sharing,['Веб-программирование'],,5 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/razrabotka-mob-prilozhenij-1035684/
Обновление магазина на Shop-Script с версии 5 до 8 с доработками,С целью приведения сайта магазина к современному внешнему виду и функционалу предпринимается обновление с SS5 до SS8 с установкой современной темы дизайна с хорошей мобильной версией и подключением ря...,['Интернет-магазины'],800$,5 заявок,https://www.weblancer.net/projects/internet-magaziny-61/obnovlenie-magazina-na-shop-script-s-versii-5-do-8-s-dorabotkami-1035680/
Реклама,Реклама региональная(инстаграм) мебельного магазина.,['Социальные сети (SMM и\xa0SMO)'],,28 заявок,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/reklama-1035679/
Настройка контекстной рекламы,Нужно настроить рекламу в Яндексе для привлечение клиентов веб студии (Калуга и весь СНГ) (разработка сайтов и моб приложений). Будет плюсом понимание ниши и озвучка стоимости одной заявки. Также было...,['Контекстная реклама'],,18 заявок,https://www.weblancer.net/projects/kontekstnaya-reklama-88/nastrojka-kontekstnoj-reklamy-1035677/
Парсер,"Необходим сканер вилок(арбитражных ситуаций) и поиск валуев (завышенных коэффициентов). Алгоритмы поиска общепринятый, но если есть вопросы, уточняйте. Интерфейс должен быть, но без дизайна.",['Прикладное ПО'],500$,2 заявки,https://www.weblancer.net/projects/prikladnoe-po-23/parser-1035676/
Настроить рекламу на ФБ.,Настроить рекламу на ФБ. Вы должны настроить на своих аккаунтах рекламу Супер настройки не нужны. Скидываю ссылку на сайт и креативы. Все детально скажу что куда сделать.,['Социальные сети (SMM и\xa0SMO)'],10$,14 заявок,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/nastroit-reklamu-na-fb-1035672/
Нужно доработать фото товаров,Есть фото товаров которые были с черным фоном и далее залились белым. Остались черные мелочи. Нужно сделать чтобы их не было и всё было красиво. Чтобы ручки и.тд. не было черных историй. Ваше цена за ...,['Обработка фотографий'],,32 заявки,https://www.weblancer.net/projects/obrabotka-fotografij-21/nuzhno-dorabotat-foto-tovarov-1035671/
Составить объявления для сайтов по недвижимости,Нужно составить объявления для объектов недвижимости и разместить их вместе с фотографиями на сайтах о недвижимости. Опыт работы с таким материалом обязателен. Опыт работы в агентстве недвижимости уве...,['Копирайтинг'],,2 заявки,https://www.weblancer.net/projects/kopirajting-48/sostavit-obyyavleniya-dlya-sajtov-po-nedvizhimosti-1035669/
Нужно настроить систему бронирования онлайн уроков,"СРОЧНО Нужно настоить систему бронирования онлайн уроков на любом сайте типа Calendly. Много учителей и студентов, мне нужно автомитизировать систему бронирования так, чтобы без участия адимнистратора...",['Служба поддержки'],,1 заявка,https://www.weblancer.net/projects/sluzhba-podderzhki-56/nuzhno-nastroit-sistemu-bronirovaniya-onlajn-urokov-1035668/
Сделать редирект без обновления страницы,"Нужно сделать редирект без обновления страницы. - Редирект не должен быть виден сервисами и роботами, для них редиректа не должно быть. - При прямом запросе html кода страницы, должен выдаваться код р...",['Веб-программирование'],,5 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/sdelat-redirekt-bez-obnovleniya-stranitcy-1035665/
Сделать 2 иллюстрации,"Нужно создать 2 эскиза в фш, которые потом будут переносится на одежду. 1. Взять изображение рук с картины ""Сотворение адама"" и в одну руку вставить пистолет а в другую пару смятых 100$ купю...",['Иллюстрации и\xa0Рисунки'],,11 заявок,https://www.weblancer.net/projects/illyustratcii-i-risunki-11/sdelat-2-illyustratcii-1035663/
Нужно сверстать сайт и интегрировать базу 1С,Нужно сверстать сайт и интегрировать базу 1С. С,['1С-программирование'],,3 заявки,https://www.weblancer.net/projects/1s-programmirovanie-83/nuzhno-sverstat-sajt-i-integrirovat-bazu-1s-1035662/
Накрутка подписчиков,"накрутить ботов с русскими именами, аватарками и публикациями. Не магазины, услуги и прочую ерунду. А обычных людей. Напишите цену за 1000 шт. какой процент списания ? Аккаунт естественно не должны за...",['Социальные сети (SMM и\xa0SMO)'],,8 заявок,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/nakrutka-podpischikov-1035654/
Нужна Welcome цепочка писем в Unisender для сайта спорт прогнозы,"Нужна велком цепочка писем для сайта https://prognozist.ru . Желательно чтобы вы максимально взяли на себя эту задачу. Продумать структуру, написать письма, сверстать письмо, добавить в unisender Напи...",['Социальные сети (SMM и\xa0SMO)'],,2 заявки,https://www.weblancer.net/projects/sotcialynye-seti-smm-i-smo-89/nuzhna-welcome-tcepochka-pisem-v-unisender-dlya-sajta-sport-prognozy-1035659/
Разработчик Unity,для написания игры нужен Unity разработчик. Готовый дизайн. сроки и бюджет обсуждаются,['Разработка игр'],,4 заявки,https://www.weblancer.net/projects/razrabotka-igr-26/razrabotchik-unity-1035658/
"Серия статей на тему ""Дезинфекция""",Для нового сайта http://obrabotka.promo необходимо написать серию статей. Технические требования к текстам: 1. Объём 6000-8000 знаков 2. Уникальность - 95%-100% 3. Стиль изложения - официальный 4. Тек...,['Копирайтинг'],,11 заявок,https://www.weblancer.net/projects/kopirajting-48/seriya-statej-na-temu-dezinfektciya-1035657/
Сделать описание программ для сайта по шаблону,"Добрый день!необходима помощь копирайтера. нужно написать текст для 21 страницы. Есть шаблон. По сути на всех страницах будет один и тот же текст, будут некоторые только изменения. От копирайтера нужн...",['Копирайтинг'],,7 заявок,https://www.weblancer.net/projects/kopirajting-48/sdelat-opisanie-programm-dlya-sajta-po-shablonu-1035656/
Обработка фотографий ювелирных изделий.,"Здравствуйте. Я ищу дизайнера, для сотрудничества, мне нужна обработка ювелирных изделий. Как мы может попробовать? Что я хочу в итоге это качественная обработка на белом фоне с оптимизацией для интер...",['Обработка фотографий'],,47 заявок,https://www.weblancer.net/projects/obrabotka-fotografij-21/obrabotka-fotografij-yuvelirnyh-izdelij-1035655/
Создать или доработать сайт,"Добрый день. К несчастью нашего программиста уже нет с нами, и запланированные работы встали. Сайт рукописный. У нас уже есть проявляются сбои и в действующем сайте. Новая версия есть только на сервер...",['Сайты «под ключ»'],,18 заявок,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sozdat-ili-dorabotat-sajt-1035652/
PDF generator,"Добрый день! Нужно сделать инструмент который генерит презентации без логотипа с циан. Работает по принципу - вставляем ссылку на объявление, получаем простую форму презентации. Презентацию в формате ...",['Презентации'],,1 заявка,https://www.weblancer.net/projects/prezentatcii-60/pdf-generator-1035650/
"Создание дизайна, верстка и настройка на WordPress","Уважаемые коллеги! Необходимо сделать сайт-визитку ""копию"" сайт Дизайн уникальный, современный адаптивный мультиязычный лендинг на движок WordPress Требование к дизайну: белый фон, картинки ...",['Сайты «под ключ»'],50$,21 заявка,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sozdanie-dizajna-verstka-i-nastrojka-na-wordpress-1035647/
Мультиплатформенное приложение Android / iOS,Нужно создать мультиплатформенное приложение на Android / iOS Функционал - аналог https://play.google.com/store/apps/details?id=com.yourstoryinteractive.sails.pirate.adventure Нужно только приложение ...,['Мобильные приложения'],,8 заявок,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/mulytiplatformennoe-prilozhenie-android-ios-1035645/
Комплексный аудит безопасности телеграм бота,"Основная задача: Определение всех уязвимостей Telegram бота, которые может использовать внешний злоумышленник. Ожидаемый результат: Развернутый отчет по выявленным уязвимостям, векторe и сценарии атак...",['Мобильные приложения'],,3 заявки,https://www.weblancer.net/projects/mobilynye-prilozheniya-28/kompleksnyj-audit-bezopasnosti-telegram-bota-1034174/
"Куплю скрипт (маркетинговая платформа, по типу - leadbyte)","Куплю исходный код аналога – LeadByte Нужна клиентская часть + CRM. Интересуют только готовые варианты, написание не интересно.",['Сайты «под ключ»'],8000$,2 заявки,https://www.weblancer.net/projects/sajty-pod-klyuch-58/kuplyu-skript-marketingovaya-platforma-po-tipu-leadbyte-1035640/
Нужна  сделать  Лэндинг,Нужна сделать Лэндинг пример . пример есть. фото и тексты есть,['Веб-программирование'],,24 заявки,https://www.weblancer.net/projects/veb-programmirovanie-31/nuzhna-sdelat-lending-1035639/
Нужен спец для верстки страниц фрона на react.,Здравствуйте.Нужен спец для верстки страниц фрона на react.Подробности в ЛСХорошего дня,['Веб-программирование'],,9 заявок,https://www.weblancer.net/projects/veb-programmirovanie-31/nuzhen-spetc-dlya-verstki-stranitc-frona-na-react-1035633/
Найти клиента на покупку квартиры в Севастополе,Задача Требуется найти клиента на покупку квартиры в Севастополе rudnevo28.tilda.ws Обязательные требования Качественно выполнить работу по данному заданию Описание: Это единственная двухуровневая ква...,['Интерьеры и\xa0Экстерьеры'],,нет заявок,https://www.weblancer.net/projects/interyery-i-eksteryery-15/najti-klienta-na-pokupku-kvartiry-v-sevastopole-1035284/
Статьи на тему заработка на фрилансе,"Добрый день. Для закрытой группы нужно написать порядка 10-20 статей ( в зависимости от разбивки по объёму, в зависимости от стиля подачи). Примерные темы: «Топ-5 бирж», «Как получить заказ с большей ...",['Копирайтинг'],,14 заявок,https://www.weblancer.net/projects/kopirajting-48/statyi-na-temu-zarabotka-na-frilanse-1035619/
Настройка рекламы в facebook. Арбитраж трафика,Задача найти специалиста который успешно настраивает рекламные компании в facebook. Необходимо настроить и администрировать рекламу на 2 товара (моющее дезинфицирующее средство и антисептик). Товар се...,['Контекстная реклама'],,4 заявки,https://www.weblancer.net/projects/kontekstnaya-reklama-88/nastrojka-reklamy-v-facebook-arbitrazh-trafika-1035629/
Интернет магазин на  WP Elementor,Разработать интернет магазин на WP Elementor Pro (лицензия есть). Интернет магазин по доставке питьевой воды. Страницы: Главная Каталог Корзина Доставка Контакты ---,['Интернет-магазины'],,17 заявок,https://www.weblancer.net/projects/internet-magaziny-61/internet-magazin-na-wp-elementor-1035623/
Разработка игр на Java,"Нужен разработчик игр на Java. Нужно сделать несколько игр. Игры простенькие, на 2-4 экрана, графику и тз пришлем, на любые вопросы ответим",['Прикладное ПО'],,1 заявка,https://www.weblancer.net/projects/prikladnoe-po-23/razrabotka-igr-na-java-1035622/
Сверстать для сайта несколько дополнительных элементов,"Сайт – 2lex.ru. Элементы: команда и как мы работем https://prnt.sc/ryage5 Исходник дизайна тут https://www.figma.com/file/GAnyNDr1QWYdV7pzO3HNND/2Lex?node-id=34%3A202 Блоки должны быть в статье, напри...",['HTML-верстка'],,25 заявок,https://www.weblancer.net/projects/html-verstka-32/sverstat-dlya-sajta-neskolyko-dopolnitelynyh-elementov-1035621/
Скачать и обработать 250 MP3 с сайта,"Есть список 25 птиц, есть сайт с их голосами (по каждой птице на сайте сотни записей). Нужно по каждой птице отобрать и скачать 10 записей (без шума, с нормальной громкостью) и ВРУЧНУЮ вырезать из них...",['Аудиомонтаж'],15$,13 заявок,https://www.weblancer.net/projects/audiomontazh-85/skachat-i-obrabotat-250-mp3-s-sajta-1035617/
